자치구,정류장수,노선수,승차총승객수,하차총승객수
강남구,499,91,8030483,7569213
강동구,369,21,2890053,2830506
강북구,413,67,4825181,4671783
강서구,566,49,4681083,4652828
관악구,466,86,7655819,7792476
광진구,269,41,2749448,2753411
구로구,486,79,4942197,4730992
금천구,345,58,3776658,3581930
노원구,514,57,4353295,4292724
도봉구,359,46,3304305,3211421
동대문구,306,73,5240565,5115379
동작구,438,94,5314274,5112276
마포구,562,97,5088461,4957596
서대문구,456,107,5863499,5796960
서초구,600,93,7221330,6977950
성동구,435,58,2807280,2746738
성북구,602,99,6236424,6231238
송파구,415,55,5641742,5603488
양천구,319,56,4009172,3851173
영등포구,465,101,5739875,5783211
용산구,323,67,4189977,4086474
은평구,501,71,5201660,5122499
종로구,349,106,5468935,5205394
중구,178,103,3776675,3598932
중랑구,380,48,3792541,3740923
