자치구,인구,세대,세대당인구,65세이상고령자
종로구,153684,73766,1.96,28064
중구,131450,63767,1.92,24742
용산구,236518,111207,2.0,39461
성동구,291609,134533,2.12,46896
광진구,353110,169483,2.01,52604
동대문구,352592,169695,1.99,62963
중랑구,393600,187693,2.07,72851
성북구,442680,197296,2.2,75719
강북구,300824,144725,2.05,64961
도봉구,318100,138836,2.28,65122
노원구,514445,219065,2.33,89426
은평구,476013,215178,2.19,88418
서대문구,317075,145044,2.11,55012
마포구,378629,180702,2.04,55168
양천구,449378,181765,2.45,69953
강서구,578426,272572,2.1,93924
구로구,419984,181916,2.18,73864
금천구,244901,118697,1.95,41819
영등포구,400241,188193,2.0,63547
동작구,394649,186419,2.07,67470
관악구,500336,279353,1.74,80686
서초구,413677,169895,2.41,61404
강남구,537338,234612,2.27,79575
송파구,668261,285106,2.32,99854
강동구,465097,201926,2.28,75477
